University Name,Sports Analytics or Sports Science,Mission Statement,Vision Statement,Website link ,Program type (dropdown),Additional program type (if necessary),Undergrad program,Graduate program,City,State,Private/Public,Undergrad Population,Grad Population,# of students in program,In-State Tuition,Out-of-State Tuition,Program Name,Year Established,Credit Hours Undergraduate  (or N/A),Credit Hours Graduate (or N/A),Credit hours in business,Credit hours in human physiology,Credit hours in kinesiology,Credit hours in sports management,Credit hours in computer science,Credit hours in data analytics,Degree of Experiental Learning (0-5),Technical vs Applied (0-5),"Technical Aspects: (Computer Science, Data Engineering, Algorithms, Machine Learning, Other, N/A)","Applied Aspects: (Marketing, Sports Management, Finance, Kinesiology, Human Physology, Other, N/A","Department/College housed in (ex: Business, Education, Economics, etc)","Sports analytics focus (business, tech, human phys, etc)",Problem They're solving,"External partners (Athletics, community)",Required internship or capstone (if applicable),Student clubs (if applicable)
University of Miami Ohio,Analytics,"Prepares students to analyze, interpret, and communicate data within the sport industry, focusing on performance, marketing, and business applications","Aims to prepare students for leadership roles by fostering expertise in data analysis, interpretation, and communication, specifically for business and performance applications.",Miami Ohio,Minor,N/A,Yes,No,Oxford,OH,Public,"16,800","2,000",100,"17,500"," 39,000 ",Sports Analytics Minor,2020,12,N/A,3,0,0,0,0,3,2,1,"More techinical: Data visualization, database programming",N/A,"Math, Stats, and Data Analytics",Data/analytics focused,"Exploring the ways in which sport organizations analytze, interpret, and communicate data efficiently and effectively",N/A,N/A,N/A
University of Michigan,Analytics,"Help students develop skills in statistics, data science, and analytical thinking through sports","Transforming sports through student-led research, data science, and hands-on, interdisciplinary collaboration to optimize performance, prevent injury, and innovate within the sports industry",Michigan,Certificate,N/A,Yes,No,Ann Arbor,MI,Public,"35,000","18,000",N/A,"10,083"," 33,981 ",Sports Performance Analytics,N/A,15,N/A,0,0,3,0,0,0,3,3,Uses python and sports datasets ,"Uses wearable technology, apply machine learning techinques",Michigan Online,Business,address the gap between collecting sports data and actually using it effectively by teaching predictive modeling and analytics,Draws from real data sets in pro sport but not partnered with anybody,N/A,N/A
University of Mississippi,Analytics,"Prepare professionals for the evolving sports industry by integrating cutting-edge analytics, data science, and visualization techniques",Aims to redefine the sports industry by integrating data-driven insights with practical applications in performance and business,University of Mississippi,Masters,"Online, Lab",No,Yes,Oxford,MS,Public,"21,500","4,949",N/A,"9,990"," 30,150 ",The Master of Science in Sport Analyics,N/A,N/A,30,6,3,0,0,0,12,3,0,"Quantitative and Qualitative Research Methods, Data Analytics in Strength and Conditioning",N/A,Science in Sports Analytics ,Sport Performance ,"Practical, career-ready skills in data analysis, machine learning and visualization ",Center for Sports and Performance Analytics in Korea and Center for Global Sport and Recreation Studies in Hong Kong,N/A,N/A
University of Nevada Las Vegas,Analytics,"We champion innovation, foster economic development, and elevate education, sport business, and sport science.","Back to Initiatives The Sports Data & Analytics (SDA) initiative at the Sports Innovation Institute develops cutting-edge analytics to bring data-driven, objective assessments to our sports management and sports performance projects. Our data analytics team engages with academic faculty and industry professionals to enhance impact and facilitate positive change on the sports ecosystem. We specialize in collecting, analyzing, and interpreting vast amounts of data to enhance decision-making and performance across various aspects of sports and exercise. By integrating data with real-time insights by clinicians and coaches, our SDA team helps optimize athlete health, improve performance, and provide a competitive edge in all sports environments, ranging from professional to youth",UNLV,Institute,N/A,No,Yes,Las Vegas,NV,Public,"26,186","5,376",N/A,"10,394"," 28,788 ",Sports Data & Analytics,2018,N/A,0,0,0,0,0,0,0,5,3,"machine learning, database management, data visualization",Focuses on enhancing athletic performance and optimizing management with real-time insights from coaches and industry partners.,Sports Innovation Institute,Data,"develop cutting-edge analytics to bring data-driven, objective assessments to sports management and performance projects",Cleveland Clinic Lou Ruvo Center for Brain Health and the Ultimate Fighting Championship (UFC) Performance Institute,N/A,N/A
University of New Hampshire,Analytics,"We blend creative thinking with hands-on problem-solving, preparing you to make a meaningful impact in today's dynamic business world.","Whether you're a passionate athlete or a budding data scientist, this innovative course offers a unique opportunity to merge your interests and gain a competitive edge in the world of sports analytics.",University of New Hampshire,Lab,Collaborates with college of Business and the business analytics dept in a lab,Yes,No,Durham,NH,Public,"11,365","2,233",N/A,"15,908"," 37,070 ",The UNH Sports Analytics Lab,2023,8,N/A,0,0,0,0,0,0,2,3,N/A,analyzing player performance and facility upgrades.,Peter T. Paul College of Business and Economics,Business,Transform raw data into actionable insights for athletic teams,UNH athletics+ overall trends in college sports,N/A,N/A
University of North Carolina at Charlotte,Analytics,"Provide transdisciplinary and rigorous education and research in data science that equips students with the skills needed for analyzing and interpreting data, fostering a collaborative and diverse environment, and promoting ethical data practices.","The vision of UNC Charlotte’s School of Data Science is to be a leader in advancing data science education, research, and applications by driving innovation and addressing complex societal challenges.",UNC Charlotte,Major,certicificate+bachelor of science,Yes,Yes,Charlotte,NC,Public,"26,213","5,994",N/A,"7,100"," 22,000 ",Bachelor of Science in Sports Analytics,2025,120,,0,0,6,0,10,24,5,4,N/A,"led in part by an ESPN senior statistician, features practical, hands-on work in biomechanics and human performance with local teams like the Carolina Panthers and Charlotte FC.",Collaboration between School of Data Science and College of Health and Human Services,Science,Prepares graduates for dynamic entry level roles in sports analytics,"Carolina Panther, Carolina Hurricanes, and Charlotte FC",N/A,N/A
University of Notre Dame,Analytics,Sports Analytics concentration focuses on bridging the gap between data teams and decision-makers within the sports industry.,Allows you to gain the essential skills and knowledge to become a fundamental conduit between the data teams and decision-makers in management.,University of Notre Dame,Masters,Concentration,Yes,Yes,Notre Dame,IN,Private,"8,880","4,162",N/A,"62,693"," 62,693 ","MSBA – Sports Analytics Concentration (M.S. in Business Analytics, Sports Analytics Concentration)",2022,32,N/A,0,0,0,0,0,31,1,3,"curriculum includes technical skills like acquiring sports data, statistical modeling, and data visualization","uses a sports lens to teach analytics, emphasizing how to interpret and act on data rather than just building models","Mendoza College of Business – Dept. of IT, Analytics & Operations (ITAO)","Business, data science, tech",Bringing data to front offices and student athletes to inform decision making,"Notre Dame Athletics (direct data partnership), NBA","Career planning/coaching built in, no internship required","Sports Analytics Club, MBA Business Analytics Club"
University of Oklahoma,Analytics,"We provide vision and leadership demonstrating how technology enables the university, and we seek to transcend traditional boundaries extending beyond technology management to create new capabilities that are central to the university's mission and future.","To develop leaders in sports analytics who use data, technology, and analytical thinking to drive innovation and informed decision-making across the global sports industry.",University of Oklahoma,Masters,N/A,No,Yes,Norman,OK,Private,"23,351","7,522",N/A,"5,932"," 14,150 ",Sport Analytics,N/A,N/A,36,3,6,6,6,7,5,4,3,"The program develops technical skills through coursework in statistics, data science, and sports analytics that focuses on analyzing and modeling sports data.","The applied side comes from the internship, athlete tracking courses, and research projects that let students use analytics in real-world sports settings.",College of Arts & Science ,"Athlete tracking, performance metrics ",Analyzing large datasets to optimize athletic performance ,Nike/Jordan brand ,N/A,N/A
University of Pennsylvania,Analytics,The Wharton Sports Analytics and Business Initiative will give the leading minds involved in sports — from students to owners to ‘Moneyball’ type data scientists — a ringside seat to better examine the future of sports,Aims to be a global leader at the intersection of analytics and the sports industry,University of Pennsylvania,Major,Lab,Yes,Yes,Philadelphia,PA,Private,"10,000","14,000",N/A,"95,000"," 95,000 ",Wharton Sports Analytics and Business Inititative,N/A,N/A,N/A,0,0,0,0,0,0,5,4,N/A,Students gain applied experience through research projects and partnerships that use real sports datasets.,Business school,Data analysis,"real-world sports business, performance and operational problems, NIL, fan engagement",Numerous pro teams across sports,Internship is in elective courses,NFL Big Data Bowl Team
University of Tennessee,Analytics,"With the increasing reliance on data-driven decisions in the sports industry, this certificate prepares you to leverage analytics to optimize performance, enhance fan engagement, and improve overall team strategy.",The Sport Analytics certificate equips you with the skills and knowledge necessary to apply data analytics in the dynamic world of sports. ,University of Tennessee,Concentration,Certificate ,Yes,No,Knoxville ,TN,Public,"32,041","8,380",N/A,"13,484"," 56,170 ",Sports Analytics Concentration ,N/A,N/A,N/A,0,0,0,0,0,0,0,1,"The certificate introduces basic data science skills such as data collection, programming, statistical analysis, and predictive modeling.","It emphasizes hands-on experience using real sports data to analyze player performance, business strategy, and fan engagement.",Emerging and Collaborative Studies ,Data management,"Provides students with foundational skills, utilizing advanced techniques like predictive modeling ",Athletic department,N/A,Sports Analytics Club
University of Texas,Analytics,"Through dynamic coursework and real-world insights, you’ll gain the skills to navigate the evolving sports industry and beyond.","With a focus on analytics, leadership, and the science of performance, we empower undergraduates to thrive in sports—and to stand out in any career path.",University of Texas,Minor,N/A,Yes,No,Austin ,TX,Public,"44,314","10,699",N/A,"11,678"," 42,778 ",McCombs School of Business ,2021,18,N/A,6,0,0,3,0,9,4,3,teaches analytical and business skills that help students interpret sports data and evaluate performance and strategy.,"mphasizes experiential learning through consulting projects, industry speakers, and student organizations that connect analytics concepts to real sports business decisions.",School of Business,Business ,Analytical and business skillset,"Accenture, Nike",N/A,Business of Sports Student and UT Sports Analytics Reading Group
Wake Forest University,Analytics,Combine the #2 Business Analytics program in the U.S. with advanced sports analytics and applied AI to set yourself up for a career with a major sports organization.,"Gain invaluable, hands-on experience as you spend two semesters as a sports analytics consultant embedded with a Division I, Power Four football, men’s or women’s basketball, tennis, or volleyball team.",Wake Forest University,Masters,Concentration,No,Yes,Winston-Salem,NC,Private,"5,490","3,832",N/A,"63,120"," 63,120 ",M.S. in Business Analytics (MSBA) – Sports Analytics Concentration,N/A,N/A,6,0,0,0,0,0,0,4,3,"The program teaches advanced analytics tools such as Python, machine learning, AI modeling, and sports data engineering to analyze player and team performance data.","Students apply these skills through consulting-style practicums embedded with sports teams, using real data to support coaching and organizational decisions.",School of Business,"Business, data engineering","Prepares data analysts to work inside sports organizations, learn to use analysis to make decisions","Wake Forest Baseball, consulting with D1 schools",Capstone with corporate partner,Consulting club
35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0: All technical,0 to 3,2 to 5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Mostly technical,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2: More technical, also applied",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3: More applied, but also technical",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4: Mostly applied,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5: All applied,,,,,,,,
